,title,rating,available,img
0,Rumble, 38%,Available Dec 15,data/img_basic/poster-1.jpg
1,Mosley, 60%,Available Dec 10,data/img_basic/poster-2.jpg
2,Benedetta, 85%,Available Dec 21,data/img_basic/poster-3.jpg
3,Last Words, 33%,Available Dec 17,data/img_basic/poster-4.jpg
4,Saint-Narcisse, 100%,Available Dec 14,data/img_basic/poster-5.jpg
5,Try Harder!, 97%,Available Dec 24,data/img_basic/poster-6.jpg
6,Back To The Outback, 88%,Available Dec 10,data/img_basic/poster-7.jpg
7,The Scary Of Sixty-First, 56%,Available Dec 24,data/img_basic/poster-8.jpg
8,Sensation, 17%,Available Dec 31,data/img_basic/poster-9.jpg
9,Red Snow, 73%,Available Dec 28,data/img_basic/poster-10.jpg
10,The Novice, 95%,Available Dec 17,data/img_basic/poster-11.jpg
11,Even Mice Belong In Heaven, 100%,Available Dec 10,data/img_basic/poster-12.jpg
12,The Lost Daughter, 95%,Available Dec 31,data/img_basic/poster-13.jpg
13,The Hand Of God (È Stata La Mano Di Dio), 82%,Available Dec 15,data/img_basic/poster-14.jpg
14,Encounter, 57%,Available Dec 10,data/img_basic/poster-15.jpg
15,Don'T Look Up, 55%,Available Dec 24,data/img_basic/poster-16.jpg
16,The United States Of Insanity, 100%,Available Dec 10,data/img_basic/poster-17.jpg
17,The Unforgivable, 37%,Available Dec 10,data/img_basic/poster-18.jpg
18,Being The Ricardos, 69%,Available Dec 21,data/img_basic/poster-19.jpg
19,The Hating Game, 71%,Available Dec 10,data/img_basic/poster-20.jpg
20,Portal Runner, 100%,Available Dec 10,data/img_basic/poster-21.jpg
21,Swan Song, 79%,Available Dec 17,data/img_basic/poster-22.jpg
22,Mother/Android, 31%,Available Dec 17,data/img_basic/poster-23.jpg
23,Project Space 13, 80%,Available Dec 10,data/img_basic/poster-24.jpg
24,Joy Womack: The White Swan, 100%,Available Dec 10,data/img_basic/poster-25.jpg
25,The Last Son, 25%,Available Dec 10,data/img_basic/poster-26.jpg
26,Boxing Day, 81%,Available Dec 17,data/img_basic/poster-27.jpg
27,Margrete - Queen Of The North, 90%,Available Dec 17,data/img_basic/poster-28.jpg
28,Two, 33%,Available Dec 10,data/img_basic/poster-29.jpg
29,Minnal Murali, 60%,Available Dec 24,data/img_basic/poster-30.jpg
30,Harry Potter 20th Anniversary: Return To Hogwarts, 95%,Available Jan 1,data/img_basic/poster-31.jpg
31,Beanie Mania, 100%,Available Dec 23,data/img_basic/poster-32.jpg
