,title,rating,available,img
0,Rumble, 29%,Available Dec 15,data/img_basic/poster-1.jpg
1,Hurt, 67%,Available Dec 10,data/img_basic/poster-2.jpg
2,Mosley, 60%,Available Dec 10,data/img_basic/poster-3.jpg
3,Benedetta, 85%,Available Dec 21,data/img_basic/poster-4.jpg
4,Last Words, 33%,Available Dec 17,data/img_basic/poster-5.jpg
5,Saint-Narcisse, 100%,Available Dec 14,data/img_basic/poster-6.jpg
6,Try Harder!, 97%,Available Dec 24,data/img_basic/poster-7.jpg
7,Back To The Outback, 88%,Available Dec 10,data/img_basic/poster-8.jpg
8,The Scary Of Sixty-First, 56%,Available Dec 24,data/img_basic/poster-9.jpg
9,Sensation, 17%,Available Dec 31,data/img_basic/poster-10.jpg
10,Red Snow, 73%,Available Dec 28,data/img_basic/poster-11.jpg
11,The Novice, 95%,Available Dec 17,data/img_basic/poster-12.jpg
12,Even Mice Belong In Heaven, 100%,Available Dec 10,data/img_basic/poster-13.jpg
13,The Lost Daughter, 95%,Available Dec 31,data/img_basic/poster-14.jpg
14,The Hand Of God (È Stata La Mano Di Dio), 83%,Available Dec 15,data/img_basic/poster-15.jpg
15,Encounter, 57%,Available Dec 10,data/img_basic/poster-16.jpg
16,Don'T Look Up, 56%,Available Dec 24,data/img_basic/poster-17.jpg
17,The United States Of Insanity, 100%,Available Dec 10,data/img_basic/poster-18.jpg
18,The Unforgivable, 37%,Available Dec 10,data/img_basic/poster-19.jpg
19,Being The Ricardos, 69%,Available Dec 21,data/img_basic/poster-20.jpg
20,The Hating Game, 71%,Available Dec 10,data/img_basic/poster-21.jpg
21,Portal Runner, 100%,Available Dec 10,data/img_basic/poster-22.jpg
22,Swan Song, 79%,Available Dec 17,data/img_basic/poster-23.jpg
23,Mother/Android, 29%,Available Dec 17,data/img_basic/poster-24.jpg
24,Project Space 13, 80%,Available Dec 10,data/img_basic/poster-25.jpg
25,Joy Womack: The White Swan, 100%,Available Dec 10,data/img_basic/poster-26.jpg
26,The Last Son, 25%,Available Dec 10,data/img_basic/poster-27.jpg
27,Boxing Day, 81%,Available Dec 17,data/img_basic/poster-28.jpg
28,Margrete - Queen Of The North, 90%,Available Dec 17,data/img_basic/poster-29.jpg
29,Minnal Murali, 60%,Available Dec 24,data/img_basic/poster-30.jpg
30,Harry Potter 20th Anniversary: Return To Hogwarts, 94%,Available Jan 1,data/img_basic/poster-31.jpg
31,Beanie Mania, 100%,Available Dec 23,data/img_basic/poster-32.jpg
32,Clifford The Big Red Dog, 57%,Available Nov 10,data/img_basic/poster-33.jpg
33,Bugs, 88%,Available Nov 16,data/img_basic/poster-34.jpg
34,They Say Nothing Stays The Same (Aru Sendo No Hanashi), 100%,Available Nov 12,data/img_basic/poster-35.jpg
35,Broken Law, 100%,Available Nov 16,data/img_basic/poster-36.jpg
36,Violet, 82%,Available Nov 9,data/img_basic/poster-37.jpg
37,Freeland, 100%,Available Nov 19,data/img_basic/poster-38.jpg
38,Gustav Stickley: American Craftsman, 71%,Available Nov 15,data/img_basic/poster-39.jpg
39,She Paradise, 88%,Available Nov 19,data/img_basic/poster-40.jpg
40,A Gift From Bob, 79%,Available Nov 9,data/img_basic/poster-41.jpg
41,Karen Dalton: In My Own Time, 100%,Available Nov 16,data/img_basic/poster-42.jpg
42,Night Raiders, 84%,Available Nov 12,data/img_basic/poster-43.jpg
43,Captains Of Za'Atari, 94%,Available Nov 19,data/img_basic/poster-44.jpg
44,"Ma Belle, My Beauty", 77%,Available Nov 23,data/img_basic/poster-45.jpg
45,King Richard, 91%,Available Nov 19,data/img_basic/poster-46.jpg
46,Clerk, 80%,Available Nov 23,data/img_basic/poster-47.jpg
47,The Feast, 81%,Available Nov 19,data/img_basic/poster-48.jpg
48,Brian Wilson: Long Promised Road, 94%,Available Nov 19,data/img_basic/poster-49.jpg
49,13 Minutes, 24%,Available Nov 19,data/img_basic/poster-50.jpg
